iter	Passed	Remaining
0	1	1774
1	3	1627
2	4	1640
3	6	1586
4	7	1429
5	8	1423
6	9	1416
7	10	1358
8	12	1359
9	13	1357
10	14	1321
11	15	1306
12	16	1280
13	18	1280
14	19	1288
15	20	1256
16	21	1260
17	22	1245
18	23	1233
19	25	1236
20	26	1242
21	27	1243
22	29	1251
23	30	1252
24	31	1232
25	32	1235
26	34	1237
27	35	1238
28	37	1242
29	38	1242
30	39	1238
31	40	1239
32	42	1241
33	43	1243
34	45	1242
35	46	1244
36	47	1240
37	49	1243
38	50	1238
39	51	1224
40	52	1219
41	53	1223
42	54	1218
43	56	1224
44	58	1232
45	59	1234
46	61	1240
47	62	1239
48	63	1233
49	65	1237
50	66	1242
51	68	1249
52	70	1254
53	71	1257
54	73	1263
55	75	1268
56	76	1266
57	77	1261
58	79	1266
59	81	1269
60	82	1273
61	84	1276
62	86	1279
63	86	1270
64	87	1262
65	89	1268
66	91	1272
67	92	1273
68	94	1275
69	96	1279
70	97	1272
71	98	1268
72	99	1267
73	101	1268
74	103	1272
75	104	1266
76	105	1268
77	107	1270
78	109	1274
79	110	1269
80	112	1270
81	114	1279
82	115	1281
83	116	1275
84	118	1272
85	119	1265
86	120	1262
87	122	1264
88	123	1264
89	125	1265
90	126	1266
91	128	1268
92	129	1263
93	130	1261
94	132	1261
95	133	1260
96	135	1260
97	136	1260
98	138	1256
99	139	1254
100	140	1252
101	142	1251
102	143	1250
103	144	1242
104	145	1241
105	147	1241
106	148	1239
107	149	1237
108	151	1236
109	152	1234
110	154	1233
111	155	1232
112	157	1233
113	158	1233
114	159	1229
115	160	1223
116	162	1222
117	163	1222
118	165	1222
119	166	1222
120	168	1221
121	169	1220
122	171	1219
123	172	1219
124	173	1216
125	175	1217
126	176	1211
127	177	1210
128	179	1211
129	180	1211
130	181	1206
131	183	1206
132	185	1206
133	185	1201
134	187	1201
135	188	1198
136	190	1198
137	191	1196
138	193	1197
139	194	1196
140	196	1195
141	197	1194
142	198	1189
143	199	1187
144	200	1184
145	202	1183
146	203	1178
147	204	1178
148	206	1177
149	207	1176
150	208	1172
151	210	1171
152	211	1171
153	212	1168
154	214	1167
155	215	1166
156	217	1165
157	218	1164
158	219	1163
159	221	1161
160	222	1160
161	224	1159
162	225	1157
163	226	1156
164	228	1154
165	229	1152
166	231	1152
167	232	1152
168	233	1148
169	235	1148
170	236	1147
171	238	1146
172	239	1145
173	241	1145
174	242	1142
175	243	1141
176	244	1137
177	246	1137
178	247	1136
179	249	1136
180	250	1135
181	252	1134
182	254	1134
183	254	1130
184	256	1129
185	257	1128
186	259	1127
187	261	1127
188	262	1125
189	263	1123
190	265	1123
191	266	1121
192	268	1121
193	269	1119
194	271	1118
195	272	1117
196	273	1114
197	275	1114
198	276	1113
199	277	1110
200	279	1109
201	280	1108
202	282	1107
203	283	1106
204	284	1105
205	286	1104
206	288	1103
207	288	1099
208	290	1098
209	291	1097
210	293	1096
211	294	1094
212	295	1093
213	297	1092
214	298	1091
215	300	1090
216	301	1088
217	303	1087
218	304	1085
219	305	1084
220	307	1083
221	308	1082
222	310	1080
223	311	1079
224	312	1077
225	314	1076
226	315	1074
227	317	1073
228	318	1072
229	319	1070
230	321	1069
231	322	1068
232	324	1066
233	325	1065
234	326	1062
235	327	1061
236	329	1060
237	330	1058
238	332	1057
239	333	1056
240	335	1055
241	336	1054
242	338	1053
243	339	1052
244	341	1051
245	342	1048
246	343	1047
247	345	1046
248	346	1045
249	348	1044
250	350	1045
251	351	1044
252	353	1043
253	355	1043
254	356	1042
255	358	1041
256	359	1040
257	361	1038
258	362	1035
259	363	1034
260	365	1033
261	366	1032
262	368	1031
263	369	1030
264	371	1029
265	372	1028
266	374	1027
267	375	1026
268	377	1025
269	379	1025
270	380	1024
271	382	1023
272	383	1022
273	385	1021
274	386	1019
275	388	1017
276	389	1016
277	390	1015
278	392	1013
279	393	1013
280	395	1011
281	396	1010
282	398	1008
283	399	1007
284	401	1006
285	402	1005
286	404	1003
287	405	1002
288	406	1000
289	408	1000
290	409	998
291	411	997
292	413	996
293	414	995
294	415	993
295	417	992
296	418	991
297	420	989
298	421	988
299	422	986
300	424	984
301	425	983
302	427	982
303	428	980
304	429	979
305	431	977
306	432	976
307	433	973
308	434	972
309	436	970
310	437	969
311	438	967
312	439	965
313	441	963
314	442	962
315	443	961
316	445	959
317	446	957
318	447	956
319	448	953
320	450	952
321	451	951
322	453	949
323	454	948
324	456	947
325	457	945
326	458	944
327	460	943
328	461	941
329	463	940
330	464	939
331	466	937
332	467	935
333	468	934
334	470	933
335	471	931
336	472	930
337	474	928
338	475	926
339	476	925
340	478	923
341	479	922
342	480	920
343	482	919
344	483	918
345	485	916
346	486	915
347	487	914
348	489	912
349	490	911
350	491	909
351	493	908
352	494	906
353	495	904
354	497	903
355	498	902
356	500	901
357	502	900
358	503	899
359	504	897
360	506	896
361	508	895
362	509	893
363	510	892
364	511	890
365	513	889
366	514	887
367	515	885
368	516	883
369	518	882
370	519	881
371	521	880
372	522	878
373	523	876
374	525	875
375	526	874
376	528	872
377	529	871
378	530	869
379	532	868
380	533	867
381	535	866
382	536	864
383	538	863
384	539	861
385	540	860
386	542	859
387	543	857
388	545	856
389	546	855
390	548	853
391	549	852
392	551	851
393	552	849
394	554	848
395	555	847
396	557	846
397	559	845
398	560	844
399	562	843
400	563	841
401	565	840
402	566	839
403	567	837
404	569	836
405	570	835
406	572	834
407	574	833
408	576	832
409	577	831
410	579	830
411	581	829
412	582	828
413	584	826
414	585	825
415	587	824
416	588	822
417	590	821
418	591	820
419	593	819
420	595	818
421	596	817
422	597	815
423	599	814
424	601	813
425	602	812
426	604	811
427	606	810
428	607	809
429	609	807
430	611	806
431	612	805
432	614	804
433	615	803
434	617	801
435	619	800
436	620	799
437	622	798
438	623	796
439	624	795
440	626	794
441	627	792
442	629	791
443	631	790
444	633	789
445	634	788
446	636	787
447	638	786
448	639	785
449	641	783
450	643	782
451	644	781
452	646	780
453	648	779
454	650	778
455	652	777
456	653	776
457	655	775
458	656	774
459	658	773
460	660	772
461	662	771
462	663	769
463	665	768
464	666	767
465	668	766
466	670	764
467	671	763
468	673	762
469	674	761
470	676	759
471	678	758
472	679	757
473	681	755
474	682	754
475	684	753
476	686	752
477	688	751
478	689	750
479	691	749
480	693	748
481	694	746
482	696	745
483	698	744
484	700	743
485	701	741
486	702	740
487	704	739
488	706	738
489	707	736
490	709	735
491	711	734
492	712	732
493	714	731
494	716	730
495	717	729
496	719	728
497	721	727
498	722	725
499	724	724
500	725	723
501	727	721
502	728	720
503	730	718
504	732	717
505	733	716
506	735	715
507	737	714
508	739	713
509	740	711
510	742	710
511	743	708
512	745	707
513	747	706
514	748	704
515	750	703
516	751	702
517	753	700
518	754	699
519	756	698
520	757	696
521	759	695
522	761	694
523	762	692
524	764	691
525	765	690
526	766	688
527	768	686
528	770	685
529	771	684
530	773	683
531	774	681
532	775	679
533	777	678
534	779	677
535	780	675
536	782	674
537	784	673
538	785	672
539	787	670
540	788	669
541	790	668
542	792	666
543	793	665
544	795	664
545	797	663
546	798	661
547	800	660
548	802	659
549	803	657
550	805	656
551	807	655
552	808	653
553	810	652
554	811	650
555	813	649
556	815	648
557	816	647
558	818	645
559	820	644
560	822	643
561	823	642
562	825	640
563	827	639
564	829	638
565	830	636
566	831	635
567	832	633
568	833	631
569	835	630
570	837	628
571	838	627
572	840	626
573	841	624
574	843	623
